query,result
change management industry 4.0,324
change management iot,698
change management smart factory,69
change management internet of things,818
change management cyber phycal system,0
change management wireless sensor network,465
digital management industry 4.0,439
digital management iot,696
digital management smart factory,82
digital management internet of things,948
digital management cyber phycal system,0
digital management wireless sensor network,317
innovation management industry 4.0,237
innovation management iot,325
innovation management smart factory,39
innovation management internet of things,425
innovation management cyber phycal system,0
innovation management wireless sensor network,103
organizational change industry 4.0,113
organizational change iot,49
organizational change smart factory,15
organizational change internet of things,64
organizational change cyber phycal system,0
organizational change wireless sensor network,6
technological innovation industry 4.0,247
technological innovation iot,245
technological innovation smart factory,27
technological innovation internet of things,381
technological innovation cyber phycal system,0
technological innovation wireless sensor network,50
idea management industry 4.0,89
idea management iot,278
idea management smart factory,16
idea management internet of things,318
idea management cyber phycal system,0
idea management wireless sensor network,163
knowledge innovation industry 4.0,136
knowledge innovation iot,138
knowledge innovation smart factory,24
knowledge innovation internet of things,225
knowledge innovation cyber phycal system,0
knowledge innovation wireless sensor network,40
economic innovation industry 4.0,141
economic innovation iot,119
economic innovation smart factory,16
economic innovation internet of things,172
economic innovation cyber phycal system,0
economic innovation wireless sensor network,15
