query,result
change management industry 4.0,41
change management iot,78
change management smart factory,4
change management internet of things,152
change management cyber phycal system,0
change management wireless sensor network,88
digital management industry 4.0,314
digital management iot,755
digital management smart factory,37
digital management internet of things,1215
digital management cyber phycal system,0
digital management wireless sensor network,420
innovation management industry 4.0,100
innovation management iot,84
innovation management smart factory,5
innovation management internet of things,154
innovation management cyber phycal system,0
innovation management wireless sensor network,33
organizational change industry 4.0,18
organizational change iot,7
organizational change smart factory,2
organizational change internet of things,14
organizational change cyber phycal system,0
organizational change wireless sensor network,1
technological innovation industry 4.0,87
technological innovation iot,85
technological innovation smart factory,4
technological innovation internet of things,155
technological innovation cyber phycal system,0
technological innovation wireless sensor network,29
idea management industry 4.0,0
idea management iot,4
idea management smart factory,0
idea management internet of things,6
idea management cyber phycal system,0
idea management wireless sensor network,5
knowledge innovation industry 4.0,31
knowledge innovation iot,11
knowledge innovation smart factory,2
knowledge innovation internet of things,28
knowledge innovation cyber phycal system,0
knowledge innovation wireless sensor network,4
economic innovation industry 4.0,27
economic innovation iot,20
economic innovation smart factory,0
economic innovation internet of things,35
economic innovation cyber phycal system,0
economic innovation wireless sensor network,6
