filter,management,iot,result
TITLE,change management,industry 4.0,4.0
TITLE,change management,iot,4.0
TITLE,change management,smart factory,0.0
TITLE,change management,internet of things,1.0
TITLE,change management,cyber phycal system,0.0
TITLE,change management,wireless sensor network,0.0
TITLE,digital management,industry 4.0,9.0
TITLE,digital management,iot,10.0
TITLE,digital management,smart factory,1.0
TITLE,digital management,internet of things,10.0
TITLE,digital management,cyber phycal system,0.0
TITLE,digital management,wireless sensor network,2.0
TITLE,innovation management,industry 4.0,5.0
TITLE,innovation management,iot,5.0
TITLE,innovation management,smart factory,0.0
TITLE,innovation management,internet of things,8.0
TITLE,innovation management,cyber phycal system,0.0
TITLE,innovation management,wireless sensor network,0.0
TITLE,organizational change,industry 4.0,2.0
TITLE,organizational change,iot,1.0
TITLE,organizational change,smart factory,0.0
TITLE,organizational change,internet of things,0.0
TITLE,organizational change,cyber phycal system,0.0
TITLE,organizational change,wireless sensor network,0.0
TITLE,technological innovation,industry 4.0,5.0
TITLE,technological innovation,iot,2.0
TITLE,technological innovation,smart factory,0.0
TITLE,technological innovation,internet of things,6.0
TITLE,technological innovation,cyber phycal system,0.0
TITLE,technological innovation,wireless sensor network,0.0
TITLE,idea management,industry 4.0,0.0
TITLE,idea management,iot,2.0
TITLE,idea management,smart factory,0.0
TITLE,idea management,internet of things,0.0
TITLE,idea management,cyber phycal system,0.0
TITLE,idea management,wireless sensor network,0.0
TITLE,knowledge innovation,industry 4.0,2.0
TITLE,knowledge innovation,iot,0.0
TITLE,knowledge innovation,smart factory,0.0
TITLE,knowledge innovation,internet of things,2.0
TITLE,knowledge innovation,cyber phycal system,0.0
TITLE,knowledge innovation,wireless sensor network,0.0
TITLE,economic innovation,industry 4.0,1.0
TITLE,economic innovation,iot,0.0
TITLE,economic innovation,smart factory,0.0
TITLE,economic innovation,internet of things,1.0
TITLE,economic innovation,cyber phycal system,0.0
TITLE,economic innovation,wireless sensor network,0.0
KEY,change management,industry 4.0,41.0
KEY,change management,iot,78.0
KEY,change management,smart factory,4.0
KEY,change management,internet of things,152.0
KEY,change management,cyber phycal system,0.0
KEY,change management,wireless sensor network,88.0
KEY,digital management,industry 4.0,314.0
KEY,digital management,iot,755.0
KEY,digital management,smart factory,37.0
KEY,digital management,internet of things,1215.0
KEY,digital management,cyber phycal system,0.0
KEY,digital management,wireless sensor network,420.0
KEY,innovation management,industry 4.0,100.0
KEY,innovation management,iot,84.0
KEY,innovation management,smart factory,5.0
KEY,innovation management,internet of things,154.0
KEY,innovation management,cyber phycal system,0.0
KEY,innovation management,wireless sensor network,33.0
KEY,organizational change,industry 4.0,18.0
KEY,organizational change,iot,7.0
KEY,organizational change,smart factory,2.0
KEY,organizational change,internet of things,14.0
KEY,organizational change,cyber phycal system,0.0
KEY,organizational change,wireless sensor network,1.0
KEY,technological innovation,industry 4.0,87.0
KEY,technological innovation,iot,85.0
KEY,technological innovation,smart factory,4.0
KEY,technological innovation,internet of things,155.0
KEY,technological innovation,cyber phycal system,0.0
KEY,technological innovation,wireless sensor network,29.0
KEY,idea management,industry 4.0,0.0
KEY,idea management,iot,4.0
KEY,idea management,smart factory,0.0
KEY,idea management,internet of things,6.0
