query,result
change management AND industry 4.0,369.0
change management AND iot,780.0
change management AND internet of things,971.0
change management AND wireless sensor network,553.0
digital management AND industry 4.0,762.0
digital management AND iot,1461.0
digital management AND internet of things,2173.0
digital management AND wireless sensor network,739.0
innovation management AND industry 4.0,342.0
innovation management AND iot,414.0
innovation management AND internet of things,587.0
technological innovation AND industry 4.0,339.0
technological innovation AND iot,332.0
technological innovation AND internet of things,542.0
idea management AND iot,284.0
idea management AND internet of things,324.0
knowledge innovation AND internet of things,255.0
economic innovation AND internet of things,208.0
